"","xihao","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"213",232,0,0,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.7,1.1,2,3,4.1
"214",233,0,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.8,1.1,2.6,3.9,5.7
"215",234,0,0.1,0.1,0.1,0.4,0.3,0.4,0.6,0.8,1.1,1.3,1.8,2.5,5.6,8.3,10
"216",235,0,0,0.1,0.2,0.4,0.4,0.4,0.6,0.9,1,1.6,1.7,2.4,4.1,5.9,7.6
"217",236,0,0,0,0,0.3,0.3,0.2,0.4,0.4,0.5,0.7,0.6,1,1.8,2.7,4.3
"218",237,0,0.1,0.1,0.2,0.3,0.4,0.4,0.7,0.9,1.1,1.6,2,2.8,5.3,8,8.5
"219",238,0,0,0.1,0.1,0.3,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.8,1.2,1.8,2.1
"220",239,0,0,0,0,0.2,0.1,0.1,0.2,0.1,0.2,0.3,0.2,0.6,1.3,2.3,4.1
"221",240,0,0,0.3,0.3,0.4,0.4,0.4,0.6,0.8,1,1.3,1.8,2.6,5.5,7.1,9.4
"222",241,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.6,1.2,2,2.9
"223",242,0,0,0.1,0.1,0.3,0.3,0.4,0.5,0.6,0.7,1.1,1.3,1.6,2.8,4.3,5.2
"224",243,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.7,1.9,2.8,3.4
"226",245,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.5,0.5,1.4,2.5,4.4
"227",246,0,0,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.8,1,1.6,3.3,4.9,7.9
"228",247,0,0,0,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,1,2.3,3.5,5.3
"229",248,0,0.1,0.2,0.2,0.4,0.4,0.4,0.5,0.6,0.7,1,1.2,1.7,3.2,4.9,6.2
"230",249,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,1.5,2.5,4.3
"231",250,0,0,0,0,0.3,0.3,0.2,0.4,0.2,0.4,0.4,0.3,0.6,0.9,1.7,2.8
"232",251,0,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.7,0.9,1.2,1.5,1.9,3.6,4.9,6.3
"233",252,0,0,0.1,0.1,0.3,0.3,0.4,0.5,0.6,0.8,1.1,1.5,1.8,3.8,5.6,8.9
"234",253,0,0.1,0.2,0.2,0.4,0.4,0.4,0.6,0.9,1,1.2,1.7,2.3,3.6,5.6,8.4
"235",254,0,0,0,0,0.2,0.3,0.4,0.5,0.3,0.6,0.8,0.8,1.2,1.9,3.7,3.9
"237",256,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.6,0.7,1.1,1.5,3.6,6.4,7.7
